S. No,Root Domain,Country,Traffic (000s),,,,Client's requirement
279,indiatimes.com,,,,,,
280,buzzfeed.com,,,,,,
281,ovh.com,,,,,,
282,britannica.com,,,,,,
283,gizmodo.com,,,,,,
284,quora.com,,,,,,
285,nginx.com,,,,,,
286,yahoo.co.jp,,,,,,
287,nydailynews.com,,,,,,
288,cbc.ca,,,,,,
289,spotify.com,,,,,,
290,huffpost.com,,,,,,
291,sfgate.com,,,,,,
292,www.wikipedia.org,,,,,,
293,xbox.com,,,,,,
294,dell.com,,,,,,
295,playstation.com,,,,,,
296,princeton.edu,,,,,,
297,icann.org,,,,,,
298,nature.com,,,,,,
299,cnbc.com,,,,,,
300,digg.com,,,,,,
301,nvidia.com,,,,,,
302,ziddu.com,,,,,,
303,apache.org,,,,,,
304,a8.net,,,,,,
305,ted.com,,,,,,
306,list-manage.com,,,,,,
307,google.com.tw,,,,,,
308,godaddy.com,,,,,,
309,amazon.it,,,,,,
310,npr.org,,,,,,
311,channel4.com,,,,,,
312,sciencedaily.com,,,,,,
313,addtoany.com,,,,,,
314,sendspace.com,,,,,,
315,kickstarter.com,,,,,,
316,columbia.edu,,,,,,
317,google.nl,,,,,,
318,instagram.com,,,,,,
319,pexels.com,,,,,,
320,over-blog-kiwi.com,,,,,,
321,researchgate.net,,,,,,
322,tripadvisor.com,,,,,,
323,theatlantic.com,,,,,,
324,bitly.com,,,,,,
325,oracle.com,,,,,,
326,thetimes.co.uk,,,,,,
327,my.yahoo.com,,,,,,
328,worldbank.org,,,,,,
329,pbs.org,,,,,,
330,goodreads.com,,,,,,
331,fifa.com,,,,,,
332,goo.ne.jp,,,,,,
333,standard.co.uk,,,,,,
334,dw.com,,,,,,
335,urbandictionary.com,,,,,,
336,gmail.com,,,,,,
337,psychologytoday.com,,,,,,
338,sciencemag.org,,,,,,
339,yandex.ru,,,,,,
340,bloglovin.com,,,,,,
341,ox.ac.uk,,,,,,
342,box.com,,,,,,
343,photobucket.com,,,,,,
344,vox.com,,,,,,
345,engadget.com,,,,,,
346,soundcloud.com,,,,,,
347,umich.edu,,,,,,
348,t.co,,,,,,
349,theverge.com,,,,,,
350,shutterstock.com,,,,,,
351,mit.edu,,,,,,
352,naver.com,,,,,,
353,google.pl,,,,,,
354,about.com,,,,,,
355,qq.com,,,,,,
356,zendesk.com,,,,,,
357,ikea.com,,,,,,
358,utexas.edu,,,,,,
359,ea.com,,,,,,
360,abc.es,,,,,,
361,cambridge.org,,,,,,
362,ytimg.com,,,,,,
363,nikkei.com,,,,,,
364,unesco.org,,,,,,
365,pixabay.com,,,,,,
366,sciencedirect.com,,,,,,
367,ovh.co.uk,,,,,,
368,ggpht.com,,,,,,
369,metro.co.uk,,,,,,
370,variety.com,,,,,,
371,blackberry.com,,,,,,
372,googleblog.com,,,,,,
373,nbcnews.com,,,,,,
374,yale.edu,,,,,,
375,gofundme.com,,,,,,
376,cornell.edu,,,,,,
377,sports.yahoo.com,,,,,,
378,sakura.ne.jp,,,,,,
379,ibtimes.com,,,,,,
380,m.me,,,,,,
381,histats.com,,,,,,
382,oreilly.com,,,,,,
383,nicovideo.jp,,,,,,
384,so-net.ne.jp,,,,,,
385,discord.gg,,,,,,
386,theglobeandmail.com,,,,,,
387,home.neustar,,,,,,
388,apnews.com,,,,,,
389,eff.org,,,,,,
390,autodesk.com,,,,,,
391,rediff.com,,,,,,
392,storage.canalblog.com,,,,,,
393,livescience.com,,,,,,
394,elsevier.com,,,,,,
395,businesswire.com,,,,,,
396,dreniq.com,,,,,,
397,redhat.com,,,,,,
398,asahi.com,,,,,,
399,ebay.co.uk,,,,,,
400,upenn.edu,,,,,,
401,interia.pl,,,,,,
402,prezi.com,,,,,,
403,corriere.it,,,,,,
404,axs.com,,,,,,
405,cmu.edu,,,,,,
406,alexa.com,,,,,,
407,chicagotribune.com,,,,,,
408,springer.com,,,,,,
409,airbnb.com,,,,,,
410,pcmag.com,,,,,,
411,allaboutcookies.org,,,,,,
412,sina.com.cn,,,,,,
413,avast.com,,,,,,
414,ftc.gov,,,,,,
415,jstor.org,,,,,,
416,cbslocal.com,,,,,,
417,gooyaabitemplates.com,,,,,,
418,epa.gov,,,,,,
419,com.com,,,,,,
420,howstuffworks.com,,,,,,
421,statista.com,,,,,,
422,irs.gov,,,,,,
423,last.fm,,,,,,
424,lycos.com,,,,,,
425,kinja.com,,,,,,
426,dreamstime.com,,,,,,
427,arstechnica.com,,,,,,
428,www.canalblog.com,,,,,,
429,calendar.google.com,,,,,,
430,blog.fc2.com,,,,,,
431,psu.edu,,,,,,
432,calameo.com,,,,,,
433,ameblo.jp,,,,,,
434,intel.com,,,,,,
435,softpedia.com,,,,,,
436,usgs.gov,,,,,,
437,scientificamerican.com,,,,,,
438,unicef.org,,,,,,
439,uber.com,,,,,,
440,megaupload.com,,,,,,
441,amazon.ca,,,,,,
442,sky.com,,,,,,
443,afternic.com,,,,,,
444,usc.edu,,,,,,
445,biblegateway.com,,,,,,
446,parallels.com,,,,,,
447,xinhuanet.com,,,,,,
448,repubblica.it,,,,,,
449,lifehacker.com,,,,,,
450,businessinsider.com.au,,,,,,
451,pastebin.com,,,,,,
452,google.com.au,,,,,,
453,ubuntu.com,,,,,,
454,chinadaily.com.cn,,,,,,
455,ap.org,,,,,,
456,digitaltrends.com,,,,,,
457,ieee.org,,,,,,
458,espn.go.com,,,,,,
459,si.edu,,,,,,
460,evernote.com,,,,,,
461,soratemplates.com,,,,,,
462,marketwatch.com,,,,,,
463,plos.org,,,,,,
464,bp1.blogger.com,,,,,,
465,outlook.com,,,,,,
466,chron.com,,,,,,
467,orange.fr,,,,,,
468,ed.gov,,,,,,
469,mail.yahoo.com,,,,,,
470,weather.com,,,,,,
471,snapchat.com,,,,,,
472,entrepreneur.com,,,,,,
473,zeit.de,,,,,,
474,liveinternet.ru,,,,,,
475,windowsphone.com,,,,,,
476,offset.com,,,,,,
477,wattpad.com,,,,,,
478,khanacademy.org,,,,,,
479,slate.com,,,,,,
480,discovery.com,,,,,,
481,lonelyplanet.com,,,,,,
482,gutenberg.org,,,,,,
483,thestar.com,,,,,,
484,consumerreports.org,,,,,,
485,sputniknews.com,,,,,,
486,e-monsite.com,,,,,,
487,mixcloud.com,,,,,,
488,prestashop.com,,,,,,
489,feedproxy.google.com,,,,,,
490,salon.com,,,,,,
491,vchecks.me,,,,,,
492,politico.com,,,,,,
493,bp0.blogger.com,,,,,,
494,debian.org,,,,,,
495,boston.com,,,,,,
496,thehill.com,,,,,,
497,fortune.com,,,,,,
498,ssl-images-amazon.com,,,,,,
499,fastcompany.com,,,,,,
500,teamviewer.com,,,,,,
